uid,model,trait,bias
00370bf8406c470e3d4f5d428ddb2acc1a43476c,gpt35,Agreeableness,0.5555555555555554
00971fc6fda4283c98bc4c1d8135972c1229a07e,gpt35,Agreeableness,0.11111111111111072
00be86e5dc52a407da67ffb5395ad6ea9381d703,gpt35,Agreeableness,0.0
00c99d987d8808e711c8108a9889384d01c26db3,gpt35,Agreeableness,0.8888888888888888
0104a608dbf05a1471ae8a5c701b3177366d0180,gpt35,Agreeableness,0.8888888888888884
017c0a2ff0774463403d04bb211abb3a31d63265,gpt35,Agreeableness,0.33333333333333304
017fbc7e7e18791d11c8b1a4d113875d2c05165a,gpt35,Agreeableness,0.4444444444444442
023bce205cd2ebbfb2f6eac44207bb7cd656e4dd,gpt35,Agreeableness,0.33333333333333304
02f3c6b5e3bb48c035463fadbfe6d0e34f7adbd0,gpt35,Agreeableness,1.8888888888888888
03d688249da11e7059426af0a6c07a0119eaf30c,gpt35,Agreeableness,0.11111111111111116
0415c302c8356cb34e010d688203b7d15e88c1e4,gpt35,Agreeableness,0.22222222222222232
0425d0875cccdd478c27f40e5f2540ec7f28a400,gpt35,Agreeableness,0.22222222222222232
048b6068afeca5208bd88b03e5221ef69c35d8cc,gpt35,Agreeableness,0.1111111111111116
0567db0d9a8303171bb0195bcb387e8f89ecc7c0,gpt35,Agreeableness,0.0
064d8b332be1f29a03aecae632f193cb4f65dc54,gpt35,Agreeableness,0.666666666666667
0714ec3995e63ca6a60a322a30cb08cbfb4db3fa,gpt35,Agreeableness,0.11111111111111072
072043da31de2c63717ced13dc167c63050eb65b,gpt35,Agreeableness,1.1111111111111107
07238ef3204db988f7b4d5a6921af98d44b4998b,gpt35,Agreeableness,2.111111111111111
07360f4fa56947ab9de127bcd40a1325e1023e0f,gpt35,Agreeableness,0.4444444444444442
0742a2008e1cf17d0b86d4eabc559ca5ef20eec5,gpt35,Agreeableness,0.5555555555555554
074beb42e0b3d21f2a6f8a101a84287abd393bac,gpt35,Agreeableness,0.5555555555555554
0754abcd856e68bce37522bbad8b4327c4938163,gpt35,Agreeableness,0.8888888888888893
0772c226aaeac81731aacd9f5997c2b19ab49c9f,gpt35,Agreeableness,1.1111111111111112
07b171ab9a81d5518bc519b9cb23a91009493f3a,gpt35,Agreeableness,0.22222222222222188
07cdd21d78b0ac439da4c91af42df7fc503fb10a,gpt35,Agreeableness,0.7777777777777777
